year,color,mileage,motor,shasi,body,Insurance,price
۱۳۸۶,نوک‌مدادی,۱٬۱۱۱,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۳۳٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۲۴۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,,۲۹۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۹,سفید,۴۲٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۴۲۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,۳۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۳۷۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۰۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱٬۰۰۶,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۵۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,۴۳۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۹۵,سفید,۱۱۰٬۰۰۰,سالم,سالم و پلمپ,تصادفی,۹ ماه,۲۱۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,گیلاسی,۲۰۰٬۰۰۰,سالم,ضربه‌خورده,رنگ‌شدگی,,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۵۰۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۲۵۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۱ ماه,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۲۹۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,سفید,۴۰۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,۱۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۱,سفید,۱۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۳۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۹۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,خاکستری,۱۹۵٬۰۰۰,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۳ ماه,۲۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,بژ,۳۱۴٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۴۹۸٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۶ ماه,۱۸۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,خاکستری,۲۷۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۳ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,خاکستری,۲۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۲۴۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۴۹۸٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۶ ماه,۱۸۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,خاکستری,۲۷۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۳ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,خاکستری,۲۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۲۴۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۵۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۶۷٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۴۲۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,۴۸۷٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,خاکستری,۵۳٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۵,سفید,۳۰٬۰۰۰,سالم,رنگ‌شده,رنگ‌شدگی,۱۲ ماه,۲۶۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۹,سفید,۵۹٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۲ ماه,۳۷۳٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱٬۹۸۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۵۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۹۸٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۴۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,خاکستری,۱۹۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۲۶۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۹,سفید,۶۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,نوک‌مدادی,۲۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,۱۶۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۴۰۰٬۰۰۰,نیاز به تعمیر,سالم و پلمپ,اوراقی,۵ ماه,۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,خاکستری,۷۹٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۳۵۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۲۵٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,سفید,۲۱۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,۲۴۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,سفید,۳۰۱٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۲۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۲۳۷٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نوک‌مدادی,۲۸۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۱۰۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۳۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۶۳٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۶۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۱۶۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۲۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۸۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نوک‌مدادی,۲۸۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید صدفی,۹۱٬۶۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۳۸۷٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۹,خاکستری,۵۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۱۵٬۰۰۰٬۰۰۰ تومان
